line #,episode #,episode,name,line,arc #,arc
78.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,MATT,"Yeah. Essentially. Which managed to not turn it into complete bloodshed. You continued on your way to Kraghammer, presented your paperwork, were given entry into the city and that is where we begin this adventure. →",A1,Arc 1: Kraghammer and Vasselheim
79.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,LAURA,Oh no. →,A1,Arc 1: Kraghammer and Vasselheim
80.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,SAM,In the city of Kraghammer? →,A1,Arc 1: Kraghammer and Vasselheim
81.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,MATT,In the city of Kraghammer. →,A1,Arc 1: Kraghammer and Vasselheim
82.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,SAM,Wow! This is fantastic. →,A1,Arc 1: Kraghammer and Vasselheim
83.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,TRAVIS,"We're in, right? →",A1,Arc 1: Kraghammer and Vasselheim
84.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,MARISHA,Yes. We were at the door. We were talking to someone right? →,A1,Arc 1: Kraghammer and Vasselheim
85.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,MATT,"Yeah, you were talking to the front guards at the gate of Kraghammer. They have begrudgingly let you inside. Giving you a couple of pointers little prods and sent you into the city proper. →",A1,Arc 1: Kraghammer and Vasselheim
86.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,MATT,"You made your way through the darkened alleyways and stone carved tunnel that leads into the main, central portion of the city proper. An enormous underground metropolis sprawls out before you. The dark earth and shadows creating beautiful stone work, marble columns, archways, and labyrinthine bridges climbing across the vertical cityscape. →",A1,Arc 1: Kraghammer and Vasselheim
87.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,MATT,"All warmed with the red glow of some strange, crimson rock peppered throughout the town as a light source. A large metal forge envelops the center of this cylindrical city. The entire is a three-tiered cylindrical city that is built into the ground of the mountain itself. Welcome to Kraghammer! →",A1,Arc 1: Kraghammer and Vasselheim
88.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,LIAM,"Remind us. Did we bullshit our way in here, or did-- →",A1,Arc 1: Kraghammer and Vasselheim
89.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,LAURA,"No, we had a way in. →",A1,Arc 1: Kraghammer and Vasselheim
90.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,MATT,"No, Allura got your paperwork so you were actually able to get in this time. →",A1,Arc 1: Kraghammer and Vasselheim
91.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,LAURA,"But, Ashley speaks Dwarvish. Pike speaks-- →",A1,Arc 1: Kraghammer and Vasselheim
92.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,MATT,Pike speaks Dwarvish and she's not here. →,A1,Arc 1: Kraghammer and Vasselheim
93.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,ORION,I speak Dwarvish as well! →,A1,Arc 1: Kraghammer and Vasselheim
94.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,LAURA,Oh good! →,A1,Arc 1: Kraghammer and Vasselheim
95.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,ORION,I do. →,A1,Arc 1: Kraghammer and Vasselheim
96.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,SAM,That's fantastic. →,A1,Arc 1: Kraghammer and Vasselheim
97.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,MATT,"The only other bit of information you have about the whereabouts of her is that she came here to go into the mine Apparently, a mithral mine where this evil is supposedly brewing. You heard that the one person who owns the biggest part of the mithral market here cornering, his name was the dwarven Lord Nostoc Greyspine. That was the only name you had in regards to this deep earth quarry. →",A1,Arc 1: Kraghammer and Vasselheim
98.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,SAM,Greyspine? →,A1,Arc 1: Kraghammer and Vasselheim
99.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,MATT,"Greyspine, correct. →",A1,Arc 1: Kraghammer and Vasselheim
100.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,SAM,"We have to go find him, don't we? →",A1,Arc 1: Kraghammer and Vasselheim
101.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,TALIESIN,I think before we do anything we should find a place to sleep. →,A1,Arc 1: Kraghammer and Vasselheim
102.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,ORION,That's true! →,A1,Arc 1: Kraghammer and Vasselheim
103.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,TRAVIS,"Oh! We're all jacked up from before, right? →",A1,Arc 1: Kraghammer and Vasselheim
104.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,TALIESIN,Wouldn't it be nice to put everything down for a little while. →,A1,Arc 1: Kraghammer and Vasselheim
105.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,SAM,Of course. I've got a lot of booty that I need to stow. →,A1,Arc 1: Kraghammer and Vasselheim
106.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,ORION,"Good way to phrase that, Scanlan. Also, I would like to check out any places where they might have enchanted libraries or what not. →",A1,Arc 1: Kraghammer and Vasselheim
107.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,SAM,Can you stick with us? You're the only one that speaks Dwarvish. →,A1,Arc 1: Kraghammer and Vasselheim
108.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,LIAM,"Yes, you're getting ahead of yourself. →",A1,Arc 1: Kraghammer and Vasselheim
109.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,ORION,I'm just saying put it on the list. →,A1,Arc 1: Kraghammer and Vasselheim
